title,url,description,category,sub_category,skills,extracted_entities
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ","{'SKILL': [{'word': 'Decision Trees', 'score': 0.9525237083435059}, {'word': 'Art', 'score': 0.7507811188697815}, {'word': 'Ific', 'score': 0.6125338077545166}, {'word': 'Ial Neural Network', 'score': 0.8931277394294739}, {'word': 'Logistic Regression', 'score': 0.8308899998664856}, {'word': 'Der Systems', 'score': 0.9392508268356323}, {'word': 'Linear Regression', 'score': 0.8563759326934814}, {'word': 'Avo', 'score': 0.6910132169723511}, {'word': 'Id Overfitting', 'score': 0.8796628713607788}, {'word': 'Gradient Descent', 'score': 0.7463122606277466}, {'word': 'Learning', 'score': 0.9748862981796265}, {'word': 'Logis', 'score': 0.7729654312133789}, {'word': 'Tic Regression', 'score': 0.904326856136322}, {'word': 'Classification', 'score': 0.8604126572608948}, {'word': 'Tensorflow', 'score': 0.811333954334259}, {'word': 'Tree Ensemble', 'score': 0.8675248622894287}], 'TOOL': [{'word': 'Xgboo', 'score': 0.6009860038757324}]}"
Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ","{'SKILL': [{'word': 'Data Science', 'score': 0.9698590040206909}, {'word': 'Relation', 'score': 0.9048608541488647}, {'word': 'Database Management System', 'score': 0.9940786361694336}, {'word': 'RDBMS', 'score': 0.7316406965255737}, {'word': 'Cloud Database', 'score': 0.9891905784606934}, {'word': 'Python Programming', 'score': 0.9854034781455994}, {'word': 'SQL', 'score': 0.9418141841888428}, {'word': 'Deep Learning', 'score': 0.9890263080596924}, {'word': 'Machine Learning', 'score': 0.936821460723877}, {'word': 'Big Data', 'score': 0.9185535907745361}, {'word': 'Data Mining', 'score': 0.9914087057113647}], 'TOOL': [{'word': 'Jupyter', 'score': 0.8585647940635681}, {'word': 'Rstudio', 'score': 0.9216483235359192}]}"
Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ","{'SKILL': [{'word': 'Data Science', 'score': 0.97315514087677}, {'word': 'Python Programming', 'score': 0.9924001097679138}, {'word': 'Data Analysis', 'score': 0.9933972358703613}, {'word': 'Probability', 'score': 0.7927208542823792}, {'word': 'Statistics', 'score': 0.9253907799720764}, {'word': 'Reg', 'score': 0.9902148246765137}, {'word': 'Ression Analysis', 'score': 0.9716320037841797}, {'word': 'Data Visualization', 'score': 0.9904286861419678}, {'word': 'Statistical Hypothesis Testing', 'score': 0.8481907248497009}], 'TOOL': [{'word': 'Rstudio', 'score': 0.8159399032592773}, {'word': 'Pan', 'score': 0.7511405944824219}, {'word': 'Das', 'score': 0.6709914207458496}, {'word': 'Dataviz', 'score': 0.8013922572135925}]}"
Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ","{'SKILL': [{'word': 'Data Science', 'score': 0.9698858261108398}, {'word': 'Art', 'score': 0.965981662273407}, {'word': 'Ificial Intelligence', 'score': 0.8042804598808289}, {'word': 'Business', 'score': 0.6854308247566223}, {'word': 'Cloud Computing', 'score': 0.9850600957870483}, {'word': 'Cloud Native', 'score': 0.9250777363777161}, {'word': 'Devops', 'score': 0.7993166446685791}, {'word': 'Deep Learning', 'score': 0.9937124252319336}, {'word': 'Jobs', 'score': 0.8497408628463745}, {'word': 'Machine Learning', 'score': 0.7991019487380981}], 'TOOL': [{'word': 'Iaas Paas Saas', 'score': 0.7523581385612488}, {'word': 'Hybrid Multicloud', 'score': 0.7784097790718079}]}"
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ","{'SKILL': [{'word': 'Neural Network', 'score': 0.9684370160102844}, {'word': 'Con', 'score': 0.9539750814437866}, {'word': 'Volutional Neural Network', 'score': 0.8210710287094116}, {'word': 'Tensorflow', 'score': 0.8661172986030579}, {'word': 'Recurrent Neural Network', 'score': 0.9720442295074463}, {'word': 'Transformers', 'score': 0.8193950653076172}, {'word': 'Deep Learning', 'score': 0.9898422956466675}, {'word': 'Backpropagation', 'score': 0.9204899072647095}, {'word': 'Python Programming', 'score': 0.9862884879112244}, {'word': 'Neural Network Architecture', 'score': 0.8671780824661255}, {'word': 'Mathematical Optimization', 'score': 0.9670175313949585}, {'word': 'Ductive Transfer', 'score': 0.8381497263908386}]}"
IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ","{'SKILL': [{'word': 'Data Science', 'score': 0.964324951171875}, {'word': 'Digital Transformation', 'score': 0.9944535493850708}, {'word': 'Art', 'score': 0.960494875907898}, {'word': 'Ific', 'score': 0.7229903936386108}, {'word': 'Ial Intelligence', 'score': 0.8207108974456787}, {'word': 'Business Strategy', 'score': 0.9205505847930908}, {'word': 'Cloud Computing', 'score': 0.9852125644683838}, {'word': 'Deep Learning', 'score': 0.9881362915039062}, {'word': 'Jobs', 'score': 0.7880358099937439}, {'word': 'Machine Learning', 'score': 0.8115558624267578}, {'word': 'Swot Analysis', 'score': 0.9100663065910339}, {'word': 'Value Proposition', 'score': 0.9628422856330872}, {'word': 'Competitiveness', 'score': 0.9099591970443726}]}"
Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ","{'SKILL': [{'word': 'Data Science', 'score': 0.9516003131866455}, {'word': 'Data Analysis', 'score': 0.9854975342750549}, {'word': 'Data Visualization', 'score': 0.9928271174430847}, {'word': 'T Table', 'score': 0.7631262540817261}], 'TOOL': [{'word': 'Read', 'score': 0.809532880783081}, {'word': 'Microsoft', 'score': 0.8611705303192139}, {'word': 'Dataviz', 'score': 0.8419421315193176}, {'word': 'Pivo', 'score': 0.6456472873687744}, {'word': 'IBM Cognos Ana', 'score': 0.8333471417427063}, {'word': 'Tics', 'score': 0.7774705290794373}, {'word': 'Dashboard', 'score': 0.6999427676200867}]}"
Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ","{'SKILL': [{'word': 'Data Science', 'score': 0.9546468257904053}, {'word': 'Python Programming', 'score': 0.9938417077064514}, {'word': 'Data Analysis', 'score': 0.9897191524505615}, {'word': 'Pre', 'score': 0.8846245408058167}, {'word': 'Modelling', 'score': 0.9962565302848816}, {'word': 'Data Visualization', 'score': 0.9934055805206299}, {'word': 'Model Selection', 'score': 0.8782930970191956}, {'word': 'Dashboards', 'score': 0.7491285800933838}, {'word': 'Charts', 'score': 0.8970323801040649}], 'TOOL': [{'word': 'Jupyter', 'score': 0.7217305302619934}, {'word': 'Dataviz', 'score': 0.9041435122489929}, {'word': 'Matplotlib', 'score': 0.924864649772644}]}"
Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ","{'SKILL': [{'word': 'Engineering', 'score': 0.9955124258995056}, {'word': 'Python Programming', 'score': 0.9914432764053345}, {'word': 'Extraction', 'score': 0.7806938886642456}, {'word': 'Transformation', 'score': 0.9625095129013062}, {'word': 'Loading', 'score': 0.9928542971611023}, {'word': 'ETL', 'score': 0.645954966545105}, {'word': 'Relation', 'score': 0.9501458406448364}, {'word': 'Database Management System', 'score': 0.9952027797698975}, {'word': 'RDBMS', 'score': 0.7577150464057922}, {'word': 'SQL', 'score': 0.8902028799057007}, {'word': 'Data Science', 'score': 0.9824379682540894}, {'word': 'Database', 'score': 0.9521552920341492}, {'word': 'DBMS', 'score': 0.5877464413642883}, {'word': 'Nosql', 'score': 0.8553504943847656}, {'word': 'Data Analysis', 'score': 0.9809627532958984}, {'word': 'Pandas', 'score': 0.5926645398139954}, {'word': 'Umpy', 'score': 0.6083380579948425}], 'TOOL': [{'word': 'Jupyter', 'score': 0.6219988465309143}]}"
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ","{'SKILL': [{'word': 'System Security', 'score': 0.9922167062759399}, {'word': 'Database Vulnerabilities', 'score': 0.8782467842102051}, {'word': 'Cybersecurity', 'score': 0.9337548613548279}, {'word': 'Networking Basic', 'score': 0.8011141419410706}, {'word': 'Cyber Attacks', 'score': 0.9429572224617004}, {'word': 'Information Security', 'score': 0.7909696698188782}, {'word': 'New Col', 'score': 0.8079921007156372}, {'word': 'Malware', 'score': 0.8467135429382324}, {'word': 'Network Security', 'score': 0.9583276510238647}, {'word': 'Ql Injection', 'score': 0.7893245220184326}], 'TOOL': [{'word': 'INFOS', 'score': 0.6384522914886475}, {'word': 'IBM', 'score': 0.7295724749565125}]}"
